filepath,label,split
images\test\Cat\0.jpg,Cat,test
images\test\Cat\1.jpg,Cat,test
images\test\Cat\10.jpg,Cat,test
images\test\Cat\100.jpg,Cat,test
images\test\Cat\1000.jpg,Cat,test
images\test\Cat\10000.jpg,Cat,test
images\test\Cat\10001.jpg,Cat,test
images\test\Cat\10002.jpg,Cat,test
images\test\Cat\10003.jpg,Cat,test
images\test\Cat\10004.jpg,Cat,test
images\test\Cat\10005.jpg,Cat,test
images\test\Cat\10006.jpg,Cat,test
images\test\Cat\10007.jpg,Cat,test
images\test\Cat\10008.jpg,Cat,test
images\test\Cat\10009.jpg,Cat,test
images\test\Cat\1001.jpg,Cat,test
images\test\Cat\10010.jpg,Cat,test
images\test\Cat\10011.jpg,Cat,test
images\test\Cat\10012.jpg,Cat,test
images\test\Cat\10013.jpg,Cat,test
images\test\Cat\10014.jpg,Cat,test
images\test\Cat\10015.jpg,Cat,test
images\test\Cat\10016.jpg,Cat,test
images\test\Cat\10017.jpg,Cat,test
images\test\Cat\10018.jpg,Cat,test
images\test\Cat\10019.jpg,Cat,test
images\test\Cat\1002.jpg,Cat,test
images\test\Cat\10020.jpg,Cat,test
images\test\Cat\10021.jpg,Cat,test
images\test\Cat\10022.jpg,Cat,test
images\test\Cat\10023.jpg,Cat,test
images\test\Cat\10024.jpg,Cat,test
images\test\Cat\10025.jpg,Cat,test
images\test\Cat\10026.jpg,Cat,test
images\test\Cat\10027.jpg,Cat,test
images\test\Cat\10028.jpg,Cat,test
images\test\Cat\10029.jpg,Cat,test
images\test\Cat\1003.jpg,Cat,test
images\test\Cat\10030.jpg,Cat,test
images\test\Cat\10031.jpg,Cat,test
images\test\Cat\10032.jpg,Cat,test
images\test\Cat\10033.jpg,Cat,test
images\test\Cat\10034.jpg,Cat,test
images\test\Cat\10035.jpg,Cat,test
images\test\Cat\10036.jpg,Cat,test
images\test\Cat\10037.jpg,Cat,test
images\test\Cat\10038.jpg,Cat,test
images\test\Cat\10039.jpg,Cat,test
images\test\Cat\1004.jpg,Cat,test
images\test\Cat\10040.jpg,Cat,test
images\test\Cat\10041.jpg,Cat,test
images\test\Cat\10042.jpg,Cat,test
images\test\Cat\10043.jpg,Cat,test
images\test\Cat\10044.jpg,Cat,test
images\test\Cat\10045.jpg,Cat,test
images\test\Cat\10046.jpg,Cat,test
images\test\Cat\10047.jpg,Cat,test
images\test\Cat\10048.jpg,Cat,test
images\test\Cat\10049.jpg,Cat,test
images\test\Cat\1005.jpg,Cat,test
images\test\Cat\10050.jpg,Cat,test
images\test\Cat\10051.jpg,Cat,test
images\test\Cat\10052.jpg,Cat,test
images\test\Cat\10053.jpg,Cat,test
images\test\Cat\10054.jpg,Cat,test
images\test\Cat\10055.jpg,Cat,test
images\test\Cat\10056.jpg,Cat,test
images\test\Cat\10057.jpg,Cat,test
images\test\Cat\10058.jpg,Cat,test
images\test\Cat\10059.jpg,Cat,test
images\test\Cat\1006.jpg,Cat,test
images\test\Cat\10060.jpg,Cat,test
images\test\Cat\10061.jpg,Cat,test
images\test\Cat\10062.jpg,Cat,test
images\test\Cat\10063.jpg,Cat,test
images\test\Cat\10064.jpg,Cat,test
images\test\Cat\10065.jpg,Cat,test
images\test\Cat\10066.jpg,Cat,test
images\test\Cat\10067.jpg,Cat,test
images\test\Cat\10068.jpg,Cat,test
images\test\Cat\10069.jpg,Cat,test
images\test\Cat\1007.jpg,Cat,test
images\test\Cat\10070.jpg,Cat,test
images\test\Cat\10071.jpg,Cat,test
images\test\Cat\10072.jpg,Cat,test
images\test\Cat\10073.jpg,Cat,test
images\test\Cat\10074.jpg,Cat,test
images\test\Cat\10075.jpg,Cat,test
images\test\Cat\10076.jpg,Cat,test
images\test\Cat\10077.jpg,Cat,test
images\test\Cat\10078.jpg,Cat,test
images\test\Cat\10079.jpg,Cat,test
images\test\Cat\1008.jpg,Cat,test
images\test\Cat\10080.jpg,Cat,test
images\test\Cat\10081.jpg,Cat,test
images\test\Cat\10082.jpg,Cat,test
images\test\Cat\10083.jpg,Cat,test
images\test\Cat\10084.jpg,Cat,test
images\test\Cat\10085.jpg,Cat,test
images\test\Cat\10086.jpg,Cat,test
images\test\Cat\10087.jpg,Cat,test
images\test\Cat\10088.jpg,Cat,test
images\test\Cat\10089.jpg,Cat,test
images\test\Cat\1009.jpg,Cat,test
images\test\Cat\10090.jpg,Cat,test
images\test\Cat\10091.jpg,Cat,test
images\test\Cat\10092.jpg,Cat,test
images\test\Cat\10093.jpg,Cat,test
images\test\Cat\10094.jpg,Cat,test
images\test\Cat\10095.jpg,Cat,test
images\test\Cat\10096.jpg,Cat,test
images\test\Cat\10097.jpg,Cat,test
images\test\Cat\10098.jpg,Cat,test
images\test\Cat\10099.jpg,Cat,test
images\test\Cat\101.jpg,Cat,test
images\test\Cat\1010.jpg,Cat,test
images\test\Cat\10100.jpg,Cat,test
images\test\Cat\10101.jpg,Cat,test
images\test\Cat\10102.jpg,Cat,test
images\test\Cat\10103.jpg,Cat,test
images\test\Cat\10104.jpg,Cat,test
images\test\Cat\10105.jpg,Cat,test
images\test\Cat\10106.jpg,Cat,test
images\test\Cat\10107.jpg,Cat,test
images\test\Cat\10108.jpg,Cat,test
images\test\Cat\10109.jpg,Cat,test
images\test\Cat\1011.jpg,Cat,test
images\test\Cat\10110.jpg,Cat,test
images\test\Cat\10111.jpg,Cat,test
images\test\Cat\10112.jpg,Cat,test
images\test\Cat\10113.jpg,Cat,test
images\test\Cat\10114.jpg,Cat,test
images\test\Cat\10115.jpg,Cat,test
images\test\Cat\10116.jpg,Cat,test
images\test\Cat\10117.jpg,Cat,test
images\test\Cat\10118.jpg,Cat,test
images\test\Cat\10119.jpg,Cat,test
images\test\Cat\1012.jpg,Cat,test
images\test\Cat\10120.jpg,Cat,test
images\test\Cat\10121.jpg,Cat,test
images\test\Cat\10122.jpg,Cat,test
images\test\Cat\10123.jpg,Cat,test
images\test\Cat\10124.jpg,Cat,test
images\test\Cat\10125.jpg,Cat,test
images\test\Cat\10126.jpg,Cat,test
images\test\Cat\10127.jpg,Cat,test
images\test\Cat\10128.jpg,Cat,test
images\test\Cat\10129.jpg,Cat,test
images\test\Cat\1013.jpg,Cat,test
images\test\Cat\10130.jpg,Cat,test
images\test\Cat\10131.jpg,Cat,test
images\test\Cat\10132.jpg,Cat,test
images\test\Cat\10133.jpg,Cat,test
images\test\Cat\10134.jpg,Cat,test
images\test\Cat\10135.jpg,Cat,test
images\test\Cat\10136.jpg,Cat,test
images\test\Cat\10137.jpg,Cat,test
images\test\Cat\10138.jpg,Cat,test
images\test\Cat\10139.jpg,Cat,test
images\test\Cat\1014.jpg,Cat,test
images\test\Cat\10140.jpg,Cat,test
images\test\Cat\10141.jpg,Cat,test
images\test\Cat\10142.jpg,Cat,test
images\test\Cat\10143.jpg,Cat,test
